UserId,Transportation,Business of Science,Global Change,Physics,Chemistry,Computational Sciences,Information Systems,Agriculture,Biology & Medicine,Engineered Technologies,Mathematics,Energy,Social Sciences,Space Sciences,IEEE Spectrum
5855,0.000190367,0.62239325,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.62239325,0.000190367,0.000190367
5858,0.000190367,0.53419662,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.53419662,0.000190367,0.000190367
5860,0.000190367,0.53419662,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.53419662,0.000190367,0.000190367
5862,0.000190367,0.473,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.473,0.000190367,0.000190367
5864,0.000190367,0.1130331,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.1130331,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367
5865,0.000190367,0.62735474,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.62735474,0.000190367,0.000190367
5867,0.000190367,0.58667737,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.58667737,0.000190367,0.000190367
5869,0.000190367,0.22528416,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.22528416,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367
5870,0.000190367,0.6163387,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.6163387,0.000190367,0.000190367
5872,0.000190367,0.53116933,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.53116933,0.000190367,0.000190367
5873,0.000190367,0.15929997,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.15929997,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367
5874,0.000190367,0.3755934,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.3755934,0.000190367,0.000190367
5875,0.000190367,0.4107967,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.4107967,0.000190367,0.000190367
5876,0.000190367,0.40339833,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.40339833,0.000190367,0.000190367
5877,0.000190367,0.40339833,0.000190367,0.000190367,0.000190367,0.000190367,0.21306634,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.40339833,0.000190367,0.000190367
5878,0.000190367,0.47469914,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.47469914,0.000190367,0.000190367
5880,0.000190367,0.5103496,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.5103496,0.000190367,0.000190367
5882,0.000190367,0.40339833,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.40339833,0.000190367,0.000190367
5883,0.000190367,0.28524566,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.28524566,0.000190367,0.000190367
5886,0.000190367,0.30651665,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367,0.30651665,0.000190367,0.000190367,0.000190367,0.000190367,0.000190367
